date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2017-06-30,SER EDUCACIONAL S.A.,BRL,626180009.6746887,214777482.16229293,626180009.6746887,105371266.17487,141835469.82706496,331212964.0827186,0.0,63494678.921272226,32440742.532349743,290633692.10303545,361872000.0
2017-09-30,SER EDUCACIONAL S.A.,BRL,663878891.2041421,272180652.9014333,663878891.2041421,109450337.81650564,142982256.7405443,361038391.1094272,0.0,76146366.10469154,79064216.70770979,385338132.2220117,515432000.0
2016-12-31,YDUQS PARTICIPACOES S.A.,BRL,3812630351.388675,1338371950.2838728,3812630351.388675,862955961.3319011,1882828909.0072117,2241528003.682676,0.0,0.0,0.0,0.0,1549143000.0
2017-03-31,YDUQS PARTICIPACOES S.A.,BRL,1361892164.9094007,512456594.48197484,1361892164.9094007,316054990.8453816,657239093.3771071,807978092.0512658,0.0,38457604.646758,14072858.13498327,258546625.41827133,622161000.0
2017-06-30,YDUQS PARTICIPACOES S.A.,BRL,1337828637.0782442,520603761.0351917,1337828637.0782442,318078062.6436087,625048978.1110171,827005683.8795502,0.0,137361833.35348895,48243439.35179587,799941951.8684243,669874000.0
2017-09-30,YDUQS PARTICIPACOES S.A.,BRL,1387284207.8676515,635639957.0625749,1387284207.8676515,280328345.01483864,540763402.1594999,911279282.692429,0.0,185221948.6013765,108149902.12792826,1057205278.7775462,1125414000.0
2017-12-31,COGNA EDUCAÇÃO S.A.,BRL,16932722380.117311,3207481102.9811935,16932722380.117311,1220475902.5216181,309513212.79554933,13794272842.716331,0.0,0.0,0.0,0.0,6571821000.0
2018-03-31,COGNA EDUCAÇÃO S.A.,BRL,5713915804.044295,1112976649.0129995,5713915804.044295,355922002.8887819,86898772.2676938,4717866815.117959,0.0,143059400.5777564,3455705.3442465095,410244643.7168994,2515844000.0
2018-06-30,COGNA EDUCAÇÃO S.A.,BRL,4965948848.308778,884807273.2932144,4965948848.308778,309108736.25233454,68572317.90827973,4078245746.005396,-85366777.33969705,365768053.5380785,102405063.29113925,1145432402.988172,2219433000.0
2018-09-30,COGNA EDUCAÇÃO S.A.,BRL,6241147303.474633,2176733944.495791,6241147303.474633,298485499.4629431,1433268803.2373292,3970199335.5481725,-126569829.89034046,409261609.1724327,267139609.8218969,1346337771.3386455,7519192000.0
2017-12-31,SER EDUCACIONAL S.A.,BRL,2274784422.8094573,1147845135.1514785,2274784422.8094573,267751405.93819916,388981375.09826446,1368195561.4682226,0.0,0.0,0.0,0.0,2910822000.0
2018-03-31,SER EDUCACIONAL S.A.,BRL,757435303.3220992,380146244.583534,757435303.3220992,91217200.2888782,130872652.86470872,463665442.9465576,0.0,17519258.54597978,3610977.371208474,95464913.3365431,960169000.0
2018-06-30,SER EDUCACIONAL S.A.,BRL,653466486.8229924,324973023.44884837,653466486.8229924,72909057.89582902,106649460.46897697,407982984.0215813,0.0,52984540.36107077,18943245.486615483,258244189.6659058,971757000.0
2018-09-30,SER EDUCACIONAL S.A.,BRL,630202083.2812929,311185272.15047586,630202083.2812929,103939250.1186521,104354907.20155871,385945844.6781405,0.0,51233981.96487897,74096870.0821822,306852346.81387854,829668000.0
2017-12-31,YDUQS PARTICIPACOES S.A.,BRL,3647361976.1746383,1508871016.5084355,3647361976.1746383,764598173.7921026,1029184858.1967708,2519130132.430308,0.0,0.0,0.0,0.0,2461608000.0
2018-03-31,YDUQS PARTICIPACOES S.A.,BRL,1291096533.4617238,544669595.5705345,1291096533.4617238,290505536.8319692,344335580.16369766,880549470.3899857,0.0,59387337.5060183,44651841.59845932,281574386.13384694,844638000.0
2018-06-30,YDUQS PARTICIPACOES S.A.,BRL,1099224683.544304,444110811.3716539,1099224683.544304,227672234.90350696,221204606.764889,804010946.2544097,0.0,174088503.83897075,75170419.17410251,742692467.3168708,834414000.0
2018-09-30,YDUQS PARTICIPACOES S.A.,BRL,1049549871.3561312,407697149.8513726,1049549871.3561312,202970299.50291008,213869557.61496764,780191092.3488122,0.0,205553668.22371542,224135338.34586465,900565033.847076,819583000.0
2018-12-31,COGNA EDUCAÇÃO S.A.,BRL,24403308295.906254,4316634918.176656,24403308295.906254,1986601104.7442055,5992518197.30525,13151863610.551857,0.0,0.0,0.0,0.0,9027017000.0
2019-03-31,COGNA EDUCAÇÃO S.A.,BRL,8635945689.279022,1396326582.9932497,8635945689.279022,651883165.2164985,1942855162.8551626,4122785092.7850924,0.0,64204974.2049742,-68636841.9701753,472037935.3712687,2900426000.0
2019-06-30,COGNA EDUCAÇÃO S.A.,BRL,8831044994.258274,1180171729.8256605,8831044994.258274,650800448.8986325,2198583098.4445143,4189019469.673244,-34850976.09353795,138277742.9794342,-28197097.81814386,1389450099.1752794,2028339000.0
2019-09-30,COGNA EDUCAÇÃO S.A.,BRL,7856481819.49181,940547576.7327921,7856481819.49181,534286949.42120177,2712673039.050867,3858178827.0329986,-45297564.72453047,103615207.26259667,-79077765.50266583,1588206446.0348718,1691588000.0
2018-12-31,SER EDUCACIONAL S.A.,BRL,1881338082.700945,885580765.0611739,1881338082.700945,315367043.5186619,305922254.9171442,1138719993.8051727,0.0,0.0,0.0,0.0,2209122000.0
2019-03-31,SER EDUCACIONAL S.A.,BRL,703953183.9531839,300833140.8331408,703953183.9531839,118730268.73026872,103004543.00454299,391836708.5033751,0.0,14396961.06362773,4258104.258104258,78068838.06883806,709491000.0
2019-06-30,SER EDUCACIONAL S.A.,BRL,678360215.0537635,244529439.39868465,678360215.0537635,119680290.21818562,99026516.33782233,346090406.09666985,0.0,45438981.10449943,5014093.329157532,252994571.4583986,478372000.0
2019-09-30,SER EDUCACIONAL S.A.,BRL,601367260.6753446,196039194.9661367,601367260.6753446,90164753.350305,65027138.67140593,316324991.5942168,0.0,39092175.41668668,33096690.523079876,291702051.01109564,440840000.0
2018-12-31,YDUQS PARTICIPACOES S.A.,BRL,3176756233.54499,1200733312.683909,3176756233.54499,998218987.1457334,1265626451.912653,2006666408.5488617,0.0,0.0,0.0,0.0,784581000.0
2019-03-31,YDUQS PARTICIPACOES S.A.,BRL,1450872924.2062573,449037242.37057567,1450872924.2062573,236972613.6392803,1046644593.3112599,727879931.2132645,0.0,61804625.13795847,51517928.18459485,239374246.0409127,826225000.0
2019-06-30,YDUQS PARTICIPACOES S.A.,BRL,1452184205.0318406,422522444.9316213,1452184205.0318406,169630180.6034033,988865747.9903958,791765841.9459234,0.0,164511692.24344924,111715210.35598707,743053032.6756448,968982000.0
2019-09-30,YDUQS PARTICIPACOES S.A.,BRL,1378612085.1145587,399764397.90575916,1378612085.1145587,164074883.51986167,912766703.4920025,766616552.1879052,0.0,177864450.74211055,180405158.74921945,854058792.449205,981364000.0
2019-12-31,COGNA EDUCAÇÃO S.A.,BRL,25397716681.96819,3333751023.547803,25397716681.96819,2047560854.5693655,9012231210.14367,11787748939.232277,0.0,0.0,0.0,0.0,5183475000.0
2020-03-31,COGNA EDUCAÇÃO S.A.,BRL,6980112156.364825,1240643504.3573613,6980112156.364825,631014216.733037,2336202650.968623,3520292799.292049,0.0,-7273234.451049422,-42573055.539524056,313089013.2933187,3168914000.0
2020-06-30,COGNA EDUCAÇÃO S.A.,BRL,6590672279.650803,1320702597.0705338,6590672279.650803,586178726.6683713,2321586368.119224,3260572743.543851,0.0,-171996383.82583922,-3939255.579501041,798573254.9220148,4021812000.0
2020-09-30,COGNA EDUCAÇÃO S.A.,BRL,6397199872.342689,1484004716.2284358,6397199872.342689,765408237.4425986,2197524157.373096,3236766723.9942555,0.0,-547404124.0403539,29701069.129979964,977335153.6320277,4052956000.0
2019-12-31,SER EDUCACIONAL S.A.,BRL,1905031636.932086,479798268.0330513,1905031636.932086,302552542.1205429,183796431.8503263,974036376.2685789,0.0,0.0,0.0,0.0,714318000.0
2020-03-31,SER EDUCACIONAL S.A.,BRL,477491006.3292357,108229930.1667917,477491006.3292357,63080356.284026854,39359188.93441834,254949693.1571151,0.0,3225409.28416152,-1286239.202785633,59353609.9728747,234692000.0
2020-06-30,SER EDUCACIONAL S.A.,BRL,552677247.3243964,207090623.51609015,552677247.3243964,66277897.5052051,216587463.92957592,248310260.4375936,0.0,23048179.128465503,13278664.572451329,181642619.71728095,771006000.0
2020-09-30,SER EDUCACIONAL S.A.,BRL,519375365.6850056,191861846.42116275,519375365.6850056,61321430.471090935,207136752.8944522,236098650.73314303,0.0,2752788.0711334907,23204907.714402225,211069661.88542756,736261000.0
2019-12-31,YDUQS PARTICIPACOES S.A.,BRL,4103490235.974293,1098496811.4935114,4103490235.974293,502372149.5744522,1687392620.5305078,2309385871.3183293,0.0,0.0,0.0,0.0,2402442000.0
2020-03-31,YDUQS PARTICIPACOES S.A.,BRL,1468959042.7271502,641004405.4558396,1468959042.7271502,188083338.14278293,1142342779.0923605,630118120.0823377,0.0,32297955.022027276,78762624.80521728,177616629.15295973,2354329000.0
2020-06-30,YDUQS PARTICIPACOES S.A.,BRL,1697465755.9265077,556526463.8199949,1697465755.9265077,374841290.1340542,1498289805.3110275,584276034.6276071,0.0,1607919.056142017,136096906.16210687,530639770.6103664,994799000.0
2020-09-30,YDUQS PARTICIPACOES S.A.,BRL,1668587613.6947925,530862041.4531657,1668587613.6947925,259954788.0356731,1472386127.9055336,588854807.5388734,0.0,55548305.8811014,182750837.7511037,1371266112.3029733,1527944000.0
2020-12-31,COGNA EDUCAÇÃO S.A.,BRL,17773207598.006195,5353256673.274186,17773207598.006195,3038000615.8465,5920617578.568542,8247626296.64556,0.0,0.0,0.0,0.0,12030302000.0
2021-03-31,COGNA EDUCAÇÃO S.A.,BRL,5231433461.477697,1474024435.1993258,5231433461.477697,1690017905.1029544,1679680341.2501974,2493355978.0223637,0.0,-16004353.397581056,26893113.55697158,194056383.52028367,-1230450000.0
2021-06-30,COGNA EDUCAÇÃO S.A.,BRL,5923750399.872041,1660070777.3512475,5923750399.872041,877486404.3506078,1923724808.0614204,2821355566.21881,0.0,-60858525.271912985,42766914.587332055,681901791.4267434,3914174000.0
2021-09-30,COGNA EDUCAÇÃO S.A.,BRL,5313418584.981981,1442170147.8267264,5313418584.981981,936917518.5702729,1694560197.102302,2523695300.4339194,0.0,-178137640.65602708,63342281.38559976,791151540.7810546,2747968000.0
2020-12-31,SER EDUCACIONAL S.A.,BRL,1784887704.239718,624871923.173149,1784887704.239718,259662439.13704506,653538230.5960239,823590962.4526086,0.0,0.0,0.0,0.0,1897665000.0
2021-03-31,SER EDUCACIONAL S.A.,BRL,553233626.4855092,173667035.30113924,553233626.4855092,81410114.62776695,195476152.86042795,255683992.48687837,0.0,5278143.48657995,6765671.353590675,53842399.98595678,525560000.0
2021-06-30,SER EDUCACIONAL S.A.,BRL,651353566.8586053,182130318.29814458,651353566.8586053,111563099.80806142,219935820.53742802,293178182.9814459,0.0,16287587.971849008,19947816.69865643,215536228.4069098,352949000.0
2021-09-30,SER EDUCACIONAL S.A.,BRL,583710928.8813709,147194050.1581231,583710928.8813709,100646833.86041039,179285136.42715305,268364896.66838273,0.0,7761270.868573951,33479627.859086562,246477347.9443995,253161000.0
2020-12-31,YDUQS PARTICIPACOES S.A.,BRL,5346969265.410596,1579875483.5357285,5346969265.410596,746387482.9198822,4826017975.019726,1850408383.2104845,0.0,0.0,0.0,0.0,4330887000.0
2021-03-31,YDUQS PARTICIPACOES S.A.,BRL,1692675935.190549,538551090.9824986,1692675935.190549,213423561.00900522,1575280952.1301806,571741710.1128724,0.0,7587726.227465023,33104253.33965278,379984201.37974614,1852154000.0
