date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital,country,debt_to_assets,debt_to_equity,roa,debt_change,log_total_assets
2018-12-31,STRA,USD,1661029000.0,420361000.0,235805000.0,125131000.0,2300000.0,1425224000.0,11040000.0,22455000.0,61514000.0,242103000.0,295230000.0,USA,0.0013846838315285284,0.0016137814126060185,0.013518728450857873,-181000.0,21.230703126786985
2019-03-31,STRA,USD,1775390000.0,456589000.0,351952000.0,153517000.0,116963000.0,1423438000.0,11091000.0,11500000.0,58658000.0,246508000.0,303072000.0,USA,0.06588017280710154,0.08216936740483252,0.0064774500250649155,114663000.0,21.297285954049116
2019-06-30,STRA,USD,1784570000.0,490321000.0,346694000.0,153819000.0,113832000.0,1437876000.0,11103000.0,24409000.0,44405000.0,245110000.0,336502000.0,USA,0.06378679457796556,0.07916677098720613,0.013677804737275647,-3131000.0,21.30244332679928
2019-09-30,STRA,USD,1781196000.0,505613000.0,336537000.0,157830000.0,109234000.0,1444659000.0,11103000.0,16692000.0,38344000.0,241747000.0,347783000.0,USA,0.061326210029665464,0.07561230712576462,0.009371231464701245,-4598000.0,21.30055088573223
2019-12-31,STRA,USD,1789408000.0,524094000.0,326698000.0,156748000.0,105841000.0,1462710000.0,13328000.0,28537000.0,60739000.0,263772000.0,367346000.0,USA,0.05914861227847422,0.07235952444435328,0.015947732434414063,-3393000.0,21.305150675840103
2020-03-31,STRA,USD,1783821000.0,532783000.0,324674000.0,160888000.0,103571000.0,1459147000.0,13327000.0,35239000.0,68695000.0,265302000.0,371895000.0,USA,0.058061318932785294,0.0709805112164847,0.019754784813050187,-2270000.0,21.302023529747334
2020-06-30,STRA,USD,1791564000.0,553496000.0,307014000.0,148884000.0,102310000.0,1484550000.0,13335000.0,34152000.0,43246000.0,255831000.0,404612000.0,USA,0.05710652815082241,0.0689165066855276,0.019062673730885417,-1261000.0,21.306354818324607
2020-09-30,STRA,USD,2047319000.0,806375000.0,342261000.0,195295000.0,101542000.0,1705058000.0,14643000.0,10960000.0,46845000.0,239026000.0,611080000.0,USA,0.049597546840526564,0.05955339935650283,0.00535334259096897,-768000.0,21.439796969295546
2020-12-31,STRA,USD,2295807000.0,286122000.0,547488000.0,200052000.0,282783000.0,1748319000.0,14651000.0,5917000.0,-15881000.0,267494000.0,86070000.0,USA,0.123173681411373,0.16174565396818316,0.0025773072388053527,181241000.0,21.554350252637107
2021-03-31,STRA,USD,2369442000.0,352928000.0,633517000.0,249757000.0,327665000.0,1735925000.0,14778000.0,9577000.0,78781000.0,290336000.0,103171000.0,USA,0.13828783316915966,0.18875527456543342,0.004041879902525573,44882000.0,21.585920321334413
